institution;indicator;taux observé 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;
Freiburger Spital ­ HFR Meyriez­Murten;E.4.6.M Kolorektale Resektionen, bei Divertikel mit Abszess/Perforation, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.4.7.M Kolorektale Resektionen bei Darmischämie, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.4.8.F Kolorektale Resektionen bei anderer Diagnose;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.5 Operationen am Magen; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;E.5.1.F Magenresektionen insgesamt;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.5.2.M Magenresektionen (ohne Ösophaguseingriff) bei Magenkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.5.3.M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.6 Operationen am Ösophagus; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;E.6.1.M Komplexe Eingriffe am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;E.7 Operationen am Pankreas; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;E.7.1.M Pankreasresektionen insgesamt (ohne Transplantation, Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F Operationen an Gefässen; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;F.1 Extrakranielle Gefässoperationen; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;F.1.1.M Extrakranielle Gefäss­OP, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.1.2.M Perkutane Stentimplantation in extrakranielle Gefässe, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.1.3.F Weitere extrakranielle Gefäss­OP bei OP an Herz oder Aorta;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;F.2.1.F OP an der Aorta insgesamt;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.2.3.M Endovaskuläre abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.2.4.F OP bei thorakalem oder thorakoabdominalem Aneurysma (ohne Aortenklappe);*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.2.5.M Aortenaneurysma rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3 Operationen an Becken­/Beinarterien; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.1.F OP an Becken­/Beinarterien insgesamt;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.2.M OP an Becken­/Beinarterien bei Claudicatio, Mortalität;...;...;...;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.3.M OP an Becken­/Beinarterien bei Ruheschmerz, Mortalität;...;...;...;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.4.M OP an Becken­/Beinarterien bei Ulzeration oder Gangrän, Mortalität;...;...;...;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.5.M OP an Becken­/Beinarterien bei arterieller Embolie/Thrombose, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.6.M OP an Becken­/Beinarterien bei Komplikationen durch Prothesen/Implantate, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.7.M OP an Becken­/Beinarterien bei Aneurysma/Dissektion, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.8.F OP an Becken­/Beinarterien kombiniert mit Aorten­OP;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.3.9.F OP an Becken­/Beinarterien bei anderen komplexen Diagnosen;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.4 Amputationen; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;F.4.1.M Amputation im Fussbereich, kein Trauma, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;F.4.2.M Amputation untere Extremität, kein Trauma, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G Geburtshilfe und Frauenheilkunde; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.1 Geburten; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.1.1.F Stationäre Geburten;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.1.1.P Anteil Todesfall der Mutter bei stationären Geburten;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.1.2.P Anteil vaginale Geburten mit Dammriss 3. und 4. Grades;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.1.3.P Anteil vaginale Geburten mit Episiotomie;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.1.4.P Anteil Kaiserschnitt (Sectio);*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2 Neugeborene; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.1.F Neugeborene <1250 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.2.F Neugeborene <1250 g, Zuverlegungen;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.3.F Neugeborene <500 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.4.F Neugeborene 500-749 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.5.F Neugeborene 750-999 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.6.F Neugeborene 1000-1249 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.7.F Neugeborene 1250-1499 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.8.F Neugeborene 1500-2499 g;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.2.9.F Neugeborene >2499 g oder ohne Gewichtsangabe;*;*;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.3 Entfernung der Gebärmutter bei gutartigen Erkrankungen (Hysterektomie); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.3.1.M Hysterektomie bei gutartigen Erkrankungen, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.3.2.P Anteil laparoskopische/vaginale OP bei Hysterektomien, ohne Plastik;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.4 Brustkrebs; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.4.1.F Stationäre Behandlungen bei Brustkrebs;*;*;*;10;*;*;*;11;
Freiburger Spital ­ HFR Meyriez­Murten;G.5 Eingriffe an der Brust; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;G.5.1.F Eingriffe an der Brust insgesamt (Mammaresektionen und ­plastiken);*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.5.2.F Resektionen der Mamma bei Brustkrebs;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;G.5.3.P Anteil brusterhaltende Resektionen bei Brustkrebs;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H Erkrankungen der Harnwege und der männlichen Geschlechtsorgane; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.1 Entfernung der Niere (Nephrektomie); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.1.1.M Vollständige Nephrektomie, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.1.2.P Anteil laparoskopische OP bei vollständiger Nephrektomie;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.1.3.P Anteil partielle Nephrektomie;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.1.3.M Partielle Nephrektomie, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.1.4.P Anteil laparoskopische OP bei partieller Nephrektomie;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.2 Nierensteine; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.2.1.F HD Nierensteine;*;*;*;21;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;H.2.2.P Anteil Intervention zur Steinentfernung bei HD Nierensteine;0.0%;43.0%;*;0;0.0%;43.4%;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.3 Eingriffe an der Harnblase; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.3.1.F HD Malignom der Blase;*;*;*;<10;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;H.3.2.F TUR der Blase insgesamt;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.3.3.F TUR der Blase bei Malignom;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.3.4.P Anteil Malignom­TUR mit Instillation von Chemotherapeutika in die Harnblase;...;...;*;...;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.3.5.M Entfernung der Harnblase (Zystektomie), Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.4 Entfernung der Prostata durch Abtragung über die Harnröhre (Prostata­TUR); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.4.1.M Prostata­TUR, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;H.5 Prostatakarzinom; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;H.5.1.F Prostatakarzinom (als HD oder ND);*;*;*;11;*;*;*;14;
Freiburger Spital ­ HFR Meyriez­Murten;H.5.2.M Radikale Prostatovesikulektomie, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I Orthopädische und unfallchirurgische Krankheitsbilder; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;I.1 Gelenkersatz, Totalendoprothese (TEP); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;I.1.1.M Hüft­TEP­Erstimplantation (nicht bei Frakturen), Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.1.2.M Hüft­TEP­Wechsel und Komponentenwechsel, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.1.3.M Knie­TEP­Erstimplantation, Mortalität;0.0%;0.3%;0.0;10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.1.4.M Wechsel einer Knie­TEP, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.1.5.M Hüft­ oder Knie­TEP mit Tumorendoprothese, Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.2 Operationen an der Wirbelsäule; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;I.2.1.F OP an der Wirbelsäule insgesamt;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.2.2.M Exzision von Bandscheibengewebe (ohne Unfall, Tumor, komplexe OP an Wirbelsäule), Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.3 Hüftgelenknahe Frakturen; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.1.M Schenkelhalsfraktur (Alter >19), Mortalität;0.0%;4.2%;0.0;13;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.2.M Schenkelhalsfraktur, Alter 20-59, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.3.M Schenkelhalsfraktur, Alter 60-69, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.4.M Schenkelhalsfraktur, Alter 70-79, Mortalität;*;*;*;<10;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.5.M Schenkelhalsfraktur, Alter 80-84, Mortalität;*;*;*;<10;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.6.M Schenkelhalsfraktur, Alter 85-89, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.7.M Schenkelhalsfraktur, Alter >89, Mortalität;*;*;*;<10;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;I.3.8.M Pertrochantäre Fraktur (Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Freiburger Spital ­ HFR Meyriez­Murten;J Komplexe, heterogene Krankheitsbilder (Tracer für Peer Review); ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;J.1 Beatmung; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;J.1.1.M Beatmungsfälle >95 h (ohne Neugeborene), Mortalität;*;*;*;0;*;*;*;0;
Freiburger Spital ­ HFR Meyriez­Murten;J.2 Sepsis; ; ; ; ; ; ; ; ;
Freiburger Spital ­ HFR Meyriez­Murten;J.2.1.M HD Sepsis, Mortalität;*;*;*;<10;*;*;*;<10;
instituzione;indicatore;tasso osservato 2008;tasso atteso 2008;SMR 2008;numero di casi 2008;tasso osservato 2009;tasso atteso 2009;SMR 2009;numero di casi 2009;
Clinica fondazione G. Varini;A Cardiopatie; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.1 Infarto miocardico; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.1.1.M DP infarto miocardico (età >19), mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;A.1.2.M DP infarto miocardico, età 20-44, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.3.M DP infarto miocardico, età 45-64, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.4.M DP infarto miocardico, età 65-84, mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;A.1.5.M DP infarto miocardico, età >84, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.6.P DP infarto miocardico (età >19), con LHK o OP ai vasi coronarici, percentuale;0.0%;51.5%;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.7.M DP infarto miocardico (età >19), ammissioni dirette non trasferito, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.8.M DP infarto miocardico (età >19), trasferito da un altro ospedale, mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;A.1.9.P Forme acute di infarto al miocardio NAS (età >19), percentuale;0.0%;7.1%;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.1.10.M Infarto transmurale (età >19), mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;A.1.11.M Infarto non transmurale/NSTEMI (età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.2 Insufficienza cardiaca; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.2.1.M DP insufficienza cardiaca (età >19), mortalità;0.0%;8.6%;0.0;19;0.0%;10.4%;0.0;13;
Clinica fondazione G. Varini;A.2.2.M DP insufficienza cardiaca, età 20-44, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.2.3.M DP insufficienza cardiaca, età 45-64, mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;A.2.4.M DP insufficienza cardiaca, età 65-84, mortalità;0.0%;7.6%;0.0;13;*;*;*;<10;
Clinica fondazione G. Varini;A.2.5.M DP insufficienza cardiaca, età >84, mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;A.3 Cateterizzazione sinistra del cuore (LHC); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.3.1.F Casi con LHC diagnosi coronarica/intervento coronarico, totale;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.3.2.M Casi con LHC in caso d'infarto miocardico (età >19), senza OP al cuore, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.3.3.M Casi con LHC senza infarto miocardico con diagnosi complicante (età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.3.4.M Casi con LHC senza infarto miocardico senza diagnosi complicante (età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.3.5.P Catetere terapeutico senza infarto miocardico senza diagnosi complicante (età >19), percentuale;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.3.6.F Casi con LHC su bambini e adolescenti (età <20);*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.4 Disturbi del ritmo cardiaco; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.4.1.F DP disturbi del ritmo cardiaco;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;A.5 Trattamento con pacemaker o defibrillatore impiantabile; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.5.1.F Trattamento con pacemaker (impianto e sostituzione, incluso defibrillatore);*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.5.2.F Impianto e sostituzione di defibrillatore;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.6 Terapia ablativa; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.6.1.F Terapia ablativa supportata da catetere;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.6.2.F Terapia ablativa chirurgica;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7 Interventi sul cuore; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;A.7.1.F OP al cuore, totale;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.2.F OP alle valvole cardiache;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.3.F OP ai vasi coronarici;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.4.F Altre OP al cuore;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.5.F OP combinata al cuore;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.6.F OP al cuore di bambini o adolescenti  (età <20);*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.7.M Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.11.M OP solo ai vasi coronarici in caso d'infarto miocardico (età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.12.M OP solo ai vasi coronarici senza infarto miocardico (età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.13.M OP solo ai vasi coronarici senza infarto miocardico, età 20-49, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.14.M OP solo ai vasi coronarici senza infarto miocardico, età 50-59, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.15.M OP solo ai vasi coronarici senza infarto miocardico, età 60-69, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.16.M OP solo ai vasi coronarici senza infarto miocardico, età 70-79, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.17.M OP solo ai vasi coronarici senza infarto miocardico, età >79, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;A.7.18.P Casi totali di ventilazione meccanica >95 h in caso di OP solo ai vasi coronarici senza infarto miocardico (età >19), percentuale;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;B.1 Colpo apoplettico; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;B.1.1.M DP colpo apoplettico, tutte le forme (età >19), mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;B.1.2.M DP colpo apoplettico, tutte le forme, età 20-44, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;B.1.3.M DP colpo apoplettico, tutte le forme, età 45-64, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;B.1.4.M DP colpo apoplettico, tutte le forme, età 65-84, mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;B.1.5.M DP colpo apoplettico, tutte le forme, età >84, mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;B.1.6.P DP colpo apoplettico (età >19) con trattamento in unità Stroke, percentuale;...;...;*;...;0.0%;7.9%;*;0;
Clinica fondazione G. Varini;B.1.7.M Infarto cerebrale (ICD­10 I63, età >19), mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;B.1.8.M Infarto cerebrale (ICD­10 I63, età >19), ammissioni dirette, mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;B.1.9.P Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, percentuale;0.0%;7.8%;*;0;0.0%;7.6%;*;0;
Clinica fondazione G. Varini;B.1.9.M Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;B.1.10.M Emorragia intracerebrale (ICD­10 I61, età >19), mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;B.1.11.M Emorragia subaracnoidea (ICD­10 I60, età >19), mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;B.1.12.P Colpo apoplettico, non altrimenti specificato (ICD­10 I64, età >19), percentuale;*;*;*;<10;0.0%;13.8%;*;0;
Clinica fondazione G. Varini;B.1.12.M Colpo apoplettico, non altrimenti specificato (ICD­10 I64, età >19), mortalità;*;*;*;<10;*;*;*;0;
Clinica fondazione G. Varini;B.2 Attacchi ischemici transitori (TIA); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;B.2.1.M TIA, mortalità;*;*;*;0;*;*;*;<10;
Clinica fondazione G. Varini;B.2.2.P TIA con trattamento in unità Stroke, percentuale;...;...;*;...;0.0%;0.5%;*;0;
Clinica fondazione G. Varini;C Riabilitazione geriatrica precoce; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;C.1 Riabilitazione geriatrica precoce; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;C.1.1.F Riabilitazione geriatrica precoce;*;*;*;...;*;*;*;0;
Clinica fondazione G. Varini;D Malattie polmonari; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;D.1 Polmonite; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;D.1.1.M DP polmonite, mortalità;0.0%;9.7%;0.0;15;*;*;*;<10;
Clinica fondazione G. Varini;D.1.2.M DP polmonite, età <20, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.1.3.M DP polmonite, età 20-44, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.1.4.M DP polmonite, età 45-64, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.1.5.M DP polmonite, età 65-84, mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;D.1.6.M DP polmonite, età >84, mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;D.1.7.M DP polmonite, età 1-19, senza tumore o mucoviscidosi, ammissioni dirette, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.1.8.M DP polmonite, età >19, senza tumore o mucoviscidosi, ammissioni dirette, mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;D.2 Bronco pneumopatia cronica ostruttiva (BPCO); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;D.2.1.M BPCO (età >19), mortalità;*;*;*;<10;*;*;*;<10;
Clinica fondazione G. Varini;D.2.2.M BPCO (età >19), con FEV1 <35 %, mortalità;...;...;...;...;*;*;*;0;
Clinica fondazione G. Varini;D.2.3.M BPCO (età >19), con FEV1 35-49 %, mortalità;...;...;...;...;*;*;*;0;
Clinica fondazione G. Varini;D.2.4.M BPCO (età >19), con FEV1 50-69 %, mortalità;...;...;...;...;*;*;*;0;
Clinica fondazione G. Varini;D.2.5.M BPCO (età >19), con FEV1 >69 %, mortalità;...;...;...;...;*;*;*;0;
Clinica fondazione G. Varini;D.2.6.P BPCO (età >19), con FEV1 NAS, percentuale;...;...;*;...;0.0%;33.5%;*;0;
Clinica fondazione G. Varini;D.2.6.M BPCO (età >19), con FEV1 NAS, mortalità;...;...;...;...;*;*;*;0;
Clinica fondazione G. Varini;D.3 Cancro polmonare (carcinoma bronchiale); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;D.3.1.F Ospedalizzazioni in caso di cancro polmonare;*;*;*;<10;*;*;*;14;
Clinica fondazione G. Varini;D.4 Interventi sul polmone; ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;D.4.1.M Resezioni maggiori di polmone o bronchi, totale, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.4.2.P Pneumonectomia in caso di carcinoma bronchiale, percentuale;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.4.2.M Pneumonectomia in caso di carcinoma bronchiale, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;D.4.3.M Resezione parziale del polmone in caso di carcinoma bronchiale, mortalità;*;*;*;0;*;*;*;0;
Clinica fondazione G. Varini;E Interventi su organi addominali et sulla tiroide (chirurgia viscerale); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;E.1 Ablazione della vescicola biliare (colecistectomia); ; ; ; ; ; ; ; ;
Clinica fondazione G. Varini;E.1.1.M Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità;*;*;*;0;*;*;*;0;
